Currency code ,Currency name ,Units per INR,INR per Unit
USD,US Dollar,0.01445198,69.19467009
EUR,Euro,0.01288999,77.57957944
GBP,British Pound,0.011000552,90.90452982
INR,Indian Rupee,1,1
AUD,Australian Dollar,0.020307115,49.24382423
CAD,Canadian Dollar,0.019287561,51.84688682
SGD,Singapore Dollar,0.01957833,51.07687848
CHF,Swiss Franc,0.014432015,69.2903952
MYR,Malaysian Ringgit,0.058994254,16.95080333
JPY,Japanese Yen,1.608515687,0.62169117
CNY,Chinese Yuan Renminbi,0.096997339,10.30956117
NZD,New Zealand Dollar,0.021214152,47.13834349
THB,Thai Baht,0.458305563,2.181950387
HUF,Hungarian Forint,4.146242104,0.24118225
AED,Emirati Dirham,0.053074897,18.84129887
HKD,Hong Kong Dollar,0.113441726,8.815098588
MXN,Mexican Peso,0.277733575,3.600572959
ZAR,South African Rand,0.204794259,4.882949377
PHP,Philippine Peso,0.757219933,1.32062028
SEK,Swedish Krona,0.134179045,7.452728537
IDR,Indonesian Rupiah,205.2128794,0.004872989
SAR,Saudi Arabian Riyal,0.054194926,18.45191202
BRL,Brazilian Real,0.055924397,17.88128357
TRY,Turkish Lira,0.07912985,12.6374561
KES,Kenyan Shilling,1.457549268,0.686083155
KRW,South Korean Won,16.38597432,0.061027802
EGP,Egyptian Pound,0.250519895,3.991698943
IQD,Iraqi Dinar,17.24191606,0.057998194
NOK,Norwegian Krone,0.124165723,8.053752512
KWD,Kuwaiti Dinar,0.004397763,227.388321
RUB,Russian Ruble,0.945368341,1.057788755
DKK,Danish Krone,0.096232784,10.39146912
PKR,Pakistani Rupee,2.035561584,0.491264921
